Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
88,22,0,134,8,Some Random Commen with Id 88
89,22,0,149,7,Some Random Commen with Id 89
90,22,0,70,8,Some Random Commen with Id 90
91,22,0,43,6,Some Random Commen with Id 91
92,23,8,189,6,Some Random Commen with Id 92
93,23,8,43,3,Some Random Commen with Id 93
94,23,8,186,9,Some Random Commen with Id 94
95,23,8,77,4,Some Random Commen with Id 95
96,23,8,106,3,Some Random Commen with Id 96
97,24,6,0,4,Some Random Commen with Id 97
98,25,3,36,1,Some Random Commen with Id 98
99,25,3,108,5,Some Random Commen with Id 99
100,26,3,134,4,Some Random Commen with Id 100
101,27,7,176,1,Some Random Commen with Id 101
102,27,7,39,1,Some Random Commen with Id 102
103,27,7,152,6,Some Random Commen with Id 103
104,27,7,170,7,Some Random Commen with Id 104
105,27,7,194,8,Some Random Commen with Id 105
106,27,7,128,8,Some Random Commen with Id 106
107,28,2,50,6,Some Random Commen with Id 107
108,28,2,123,1,Some Random Commen with Id 108
109,28,2,75,3,Some Random Commen with Id 109
110,28,2,150,8,Some Random Commen with Id 110
111,28,2,109,6,Some Random Commen with Id 111
112,28,2,134,5,Some Random Commen with Id 112
113,29,7,72,8,Some Random Commen with Id 113
114,29,7,149,4,Some Random Commen with Id 114
115,29,7,65,5,Some Random Commen with Id 115
116,29,7,106,6,Some Random Commen with Id 116
117,29,7,55,5,Some Random Commen with Id 117
118,29,7,104,9,Some Random Commen with Id 118
119,30,9,126,6,Some Random Commen with Id 119
120,30,9,3,2,Some Random Commen with Id 120
121,30,9,75,6,Some Random Commen with Id 121
122,31,1,64,6,Some Random Commen with Id 122
123,31,1,116,8,Some Random Commen with Id 123
124,31,1,160,5,Some Random Commen with Id 124
125,31,1,115,0,Some Random Commen with Id 125
126,32,4,33,3,Some Random Commen with Id 126
127,33,8,196,0,Some Random Commen with Id 127
128,33,8,105,1,Some Random Commen with Id 128
129,33,8,142,3,Some Random Commen with Id 129
130,34,6,60,8,Some Random Commen with Id 130
131,35,1,60,3,Some Random Commen with Id 131
132,35,1,186,3,Some Random Commen with Id 132
133,35,1,27,3,Some Random Commen with Id 133
134,35,1,163,7,Some Random Commen with Id 134
135,35,1,12,9,Some Random Commen with Id 135
136,36,5,101,4,Some Random Commen with Id 136
137,36,5,116,3,Some Random Commen with Id 137
138,37,6,43,3,Some Random Commen with Id 138
139,37,6,119,4,Some Random Commen with Id 139
140,37,6,33,3,Some Random Commen with Id 140
141,37,6,144,3,Some Random Commen with Id 141
142,37,6,132,9,Some Random Commen with Id 142
143,37,6,183,5,Some Random Commen with Id 143
144,37,6,160,8,Some Random Commen with Id 144
145,37,6,65,0,Some Random Commen with Id 145
146,37,6,122,7,Some Random Commen with Id 146
147,38,1,16,4,Some Random Commen with Id 147
148,38,1,81,5,Some Random Commen with Id 148
149,38,1,86,0,Some Random Commen with Id 149
150,38,1,25,7,Some Random Commen with Id 150
151,38,1,3,0,Some Random Commen with Id 151
152,38,1,165,1,Some Random Commen with Id 152
153,39,6,84,2,Some Random Commen with Id 153
154,39,6,116,1,Some Random Commen with Id 154
155,39,6,73,8,Some Random Commen with Id 155
156,39,6,163,3,Some Random Commen with Id 156
157,39,6,21,2,Some Random Commen with Id 157
158,39,6,18,2,Some Random Commen with Id 158
159,39,6,39,4,Some Random Commen with Id 159
